ind/benchmarks-dti/isaplanner/goal17, 0:09.55, 9.62, 0.15, Proved
ind/benchmarks-dti/isaplanner/goal77, 0:05.90, 5.89, 0.09, Proved
ind/benchmarks-dti/isaplanner/goal15, 0:31.80, 31.88, 0.23, Proved
ind/benchmarks-dti/isaplanner/goal46, 0:00.19, 0.19, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal83, 2:00.01, 120.32, 1.17, Unknown
ind/benchmarks-dti/isaplanner/goal69, 0:06.53, 6.52, 0.04, Proved
ind/benchmarks-dti/isaplanner/goal2, 0:09.49, 9.46, 0.05, Proved
ind/benchmarks-dti/isaplanner/goal84, 0:07.80, 7.69, 0.10, Unknown
ind/benchmarks-dti/isaplanner/goal49, 2:00.00, 121.31, 1.91, Unknown
ind/benchmarks-dti/isaplanner/goal76, 2:00.00, 120.80, 1.35, Unknown
ind/benchmarks-dti/isaplanner/goal1, 2:00.00, 120.40, 0.87, Unknown
ind/benchmarks-dti/isaplanner/goal68, 2:00.00, 120.78, 2.16, Unknown
ind/benchmarks-dti/isaplanner/goal6, 0:00.50, 0.45, 0.01, Proved
ind/benchmarks-dti/isaplanner/goal62, 2:00.00, 121.12, 1.81, Unknown
ind/benchmarks-dti/isaplanner/goal80, 1:12.96, 73.29, 0.64, Unknown
ind/benchmarks-dti/isaplanner/goal21, 0:00.12, 0.11, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal63, 0:00.02, 0.02, 0.00, Unknown
ind/benchmarks-dti/isaplanner/goal31, 0:00.13, 0.12, 0.01, Proved
ind/benchmarks-dti/isaplanner/goal43, 0:02.32, 2.34, 0.03, Proved
ind/benchmarks-dti/isaplanner/goal71, 0:01.34, 1.33, 0.04, Proved
ind/benchmarks-dti/isaplanner/goal85, 0:06.27, 6.20, 0.08, Unknown
ind/benchmarks-dti/isaplanner/goal38, 0:01.55, 1.54, 0.01, Proved
ind/benchmarks-dti/isaplanner/goal54, 0:00.11, 0.11, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal39, 0:00.11, 0.12, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal28, 0:01.20, 1.19, 0.01, Proved
ind/benchmarks-dti/isaplanner/goal32, 0:00.12, 0.12, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal66, 0:00.11, 0.11, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal23, 0:00.12, 0.11, 0.01, Proved
ind/benchmarks-dti/isaplanner/goal8, 0:00.12, 0.11, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal18, 0:00.11, 0.10, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal48, 0:00.98, 1.00, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal65, 2:00.00, 121.13, 1.99, Unknown
ind/benchmarks-dti/isaplanner/goal86, 0:06.31, 6.28, 0.05, Unknown
ind/benchmarks-dti/isaplanner/goal60, 2:00.00, 120.64, 1.11, Unknown
ind/benchmarks-dti/isaplanner/goal26, 0:02.84, 2.85, 0.02, Proved
ind/benchmarks-dti/isaplanner/goal75, 1:32.89, 93.14, 0.55, Unknown
ind/benchmarks-dti/isaplanner/goal73, 0:07.34, 7.36, 0.12, Proved
ind/benchmarks-dti/isaplanner/goal81, 0:00.11, 0.10, 0.01, Proved
ind/benchmarks-dti/isaplanner/goal67, 0:01.37, 1.39, 0.01, Proved
ind/benchmarks-dti/isaplanner/goal64, 2:00.00, 120.76, 1.63, Unknown
ind/benchmarks-dti/isaplanner/goal56, 0:32.43, 32.37, 0.03, Unknown
ind/benchmarks-dti/isaplanner/goal87, 0:09.94, 9.95, 0.16, Unknown
ind/benchmarks-dti/isaplanner/goal22, 0:00.13, 0.13, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal45, 0:00.11, 0.11, 0.00, Proved
ind/benchmarks-dti/isaplanner/goal57, 0:30.64, 30.62, 0.10, Unknown
ind/benchmarks-dti/isaplanner/goal37, 0:01.29, 1.25, 0.03, Proved
